Image_Name,Seed,Mean_Red,Mean_Green,Mean_Blue,Area,Length,Width
BEACON_6X_016.tif,1,225.7134643,177.0712346,131.9953682,6261,206.9182248,39.31872465
BEACON_6X_016.tif,2,195.4978558,160.5673814,127.3078622,7695,224.0616684,44.92640442
BEACON_6X_016.tif,3,240.1074705,190.9552206,135.8593272,4578,211.0258719,28.23038367
BEACON_6X_016.tif,4,227.6666667,150,104.3333333,3,3.464101615,1.154700538
BEACON_6X_016.tif,5,235,144,94,1,1.154700538,1.154700538
BEACON_6X_016.tif,6,249,165,116,1,1.154700538,1.154700538
BEACON_6X_016.tif,7,215.8888199,161.0127329,110.8142857,6440,216.3836063,38.7126137
BEACON_6X_016.tif,8,206.9349938,155.5387741,109.8265324,5661,207.1124761,35.2374713
BEACON_6X_016.tif,9,228.4971596,179.272494,132.8246289,5457,193.9630921,36.46429912
BEACON_6X_016.tif,10,204.0031452,150.1256244,100.0825162,5405,174.2241373,39.86263847
BEACON_6X_016.tif,11,207.0447039,156.7943286,112.9823186,5995,200.1404093,38.68491944
BEACON_6X_016.tif,12,211.6849483,163.3185562,119.7145611,5707,197.7819498,37.23195484
BEACON_6X_016.tif,13,214.5831382,160.7685757,106.4456036,4697,186.3792384,32.38441309
PI_206268_2X_007.tif,1,222.3853565,177.7133911,136.8150289,2076,143.0671147,18.64276888
PI_206268_2X_007.tif,2,232,142,81,2,2.309401077,1.154700538
PI_206268_2X_007.tif,3,235.6276824,190.9155937,147.6362661,2796,165.6181078,21.88070693
PI_206268_2X_007.tif,4,220.8583201,177.5042789,141.140412,3155,152.8254823,26.51945164
PI_206268_2X_007.tif,5,215.9440994,179.3240166,143.0341615,2898,142.7829255,26.09941765
PI_206268_2X_007.tif,6,238.7724333,190.8128537,146.0990299,2474,141.4082666,22.78461016
PI_206268_2X_007.tif,7,235.4314502,186.5944584,143.7034905,2779,169.8711747,21.06372995
PI_206268_2X_007.tif,8,243.4809648,194.0773031,146.5696019,3441,163.8623418,27.14771392
PI_206268_2X_007.tif,9,255,225,187,1,1.154700538,1.154700538
PI_206268_2X_007.tif,10,229.7152236,174.2942142,126.4271645,2437,157.2349126,20.28291209
PI_206268_2X_007.tif,11,244,157,100,1,1.154700538,1.154700538
PI_206268_2X_007.tif,12,241,152,93,1,1.154700538,1.154700538
PI_206268_2X_007.tif,13,240.6398641,201.203473,162.1687429,2649,168.5258846,20.84418587
PI_206268_2X_007.tif,14,233.7012528,188.0285898,143.3045294,3113,160.3715952,25.04377057
PI_234896_6X_012.tif,1,227.0721831,177.5190461,117.0824264,6248,208.9377384,38.43922961
PI_234896_6X_012.tif,2,233.8305378,194.0102503,138.628328,7512,214.8516472,44.85043382
PI_234896_6X_012.tif,3,237.8475228,193.1352506,119.86418,7024,240.9459924,37.83422906
PI_234896_6X_012.tif,4,226.762738,180.8912335,120.2978212,5829,202.101624,37.86761768
PI_234896_6X_012.tif,5,241.5895441,190.149681,125.8588766,6427,242.3056402,34.34546409
PI_234896_6X_012.tif,6,232.2979522,183.9387372,109.6636519,5860,202.1627964,37.46430451
PI_234896_6X_012.tif,7,226.4414794,182.7379838,117.6730649,6408,205.3921694,40.54412662
PI_234896_6X_012.tif,8,236.5604985,198.6314696,136.7663147,5777,201.5004802,37.48325459
PI_234896_6X_012.tif,9,230.7034173,190.1330935,139.3446043,5560,190.2876306,37.94091162
PI_234896_6X_012.tif,10,245.8978217,192.186021,125.393512,6381,201.3262662,41.22312549
PI_234898_6X_010.tif,1,245.5585938,200.3811141,151.2892323,5888,204.586066,37.29984168
PI_234898_6X_010.tif,2,230.5017156,180.9239147,131.0031329,6703,237.8465098,36.69607076
PI_234898_6X_010.tif,3,243.5617978,197.3196378,142.4858293,5963,235.4272443,32.57058285
PI_234898_6X_010.tif,4,230.9152776,187.0619361,134.2561554,6539,205.1693082,41.07250538
PI_234898_6X_010.tif,5,242.6340648,191.6490336,136.2597006,6881,220.1448465,40.20942469
PI_234898_6X_010.tif,6,230.9902521,192.2591561,144.5334912,7181,241.7794527,38.48709813
PI_234898_6X_010.tif,7,243.8389817,200.9164678,146.6953063,6285,232.1641553,35.43962451
PI_234898_6X_010.tif,8,220.1922122,164.9565622,110.5246665,6446,251.9227124,33.3552289
PI_234898_6X_010.tif,9,230.4478673,182.700158,139.7423381,6330,212.7876512,38.26899931
PI_234898_6X_010.tif,10,240.0366094,195.5394255,154.6217967,7102,215.4631792,42.32984023
PI_251123_4X_006.tif,1,238.7532086,197.2251337,143.3229947,3740,168.4571252,28.62661172
PI_251123_4X_006.tif,2,217.0222704,173.7169886,118.3253843,5074,168.489892,38.51690236
PI_251123_4X_006.tif,3,222.0460414,168.4392205,116.182704,4105,178.6946165,29.53859388
PI_251123_4X_006.tif,4,227.8048852,177.7089464,126.2042378,3398,177.0029537,24.78086324
PI_251123_4X_006.tif,5,243.7437346,200.449347,158.8418637,2833,179.6308751,20.78696155
PI_251123_4X_006.tif,6,254.6287879,211.4101732,161.027868,3696,172.3326383,27.65451937
PI_251123_4X_006.tif,7,219.6037225,174.6087986,133.099154,2955,159.1542415,23.99416166
PI_251123_4X_006.tif,8,236.3570545,195.6556312,153.1444926,3232,166.9923129,25.09798972
PI_251123_4X_006.tif,9,214.0431173,169.20782,122.148902,3734,166.8142642,28.83389568
PI_251123_4X_006.tif,10,228.1248852,174.2007958,122.6584022,3267,163.2159896,26.03115276
PI_251127_4X_008.tif,1,219.4552058,171.6,108.0560129,6195,207.2198036,38.61230813
PI_251127_4X_008.tif,2,229.5933637,184.1800043,126.444589,4611,179.3648473,34.05531514
PI_251127_4X_008.tif,3,229.570941,187.594588,124.4410044,4102,164.6702908,32.4689136
PI_251127_4X_008.tif,4,219.1534872,172.8278455,120.5086855,3857,174.4698628,29.26897542
PI_251127_4X_008.tif,5,232.0351796,181.2974052,126.496507,4008,178.9320676,29.04702985
PI_251127_4X_008.tif,6,237.0791067,196.1271133,129.6447506,4791,176.0562449,35.36302019
PI_251127_4X_008.tif,7,255,183.5,118,2,2.309401077,1.154700538
PI_251127_4X_008.tif,8,237.9719888,198.6592819,147.3099058,3927,165.8597853,31.07764786
PI_251127_4X_008.tif,9,228.433313,190.8401548,144.5210751,4911,194.2773752,32.62910882
PI_251127_4X_008.tif,10,228.6882765,190.8721482,145.7293878,4427,166.868822,34.14847989
PI_251127_4X_008.tif,11,233.048105,184.3274417,121.933309,5488,200.3065746,35.13593552
PI_251128_4X_011.tif,1,224.7155001,185.5453066,137.1671188,5529,228.3873431,31.77728606
PI_251128_4X_011.tif,2,240.0771338,199.7186512,149.7848261,4745,200.6160524,30.41605229
PI_251128_4X_011.tif,3,229.8379424,189.7455038,140.5397409,5171,189.2289078,35.12535191
PI_251128_4X_011.tif,4,228.8901099,183.7162044,128.6138148,5733,206.0753894,35.81562442
PI_251128_4X_011.tif,5,243.2364636,200.9162437,146.1569374,4728,189.0142825,32.13592309
PI_251128_4X_011.tif,6,230.1690653,188.7368338,140.8076862,6323,197.8241315,41.49030112
PI_251128_4X_011.tif,7,227.149778,183.4557035,127.581548,5181,205.9132293,32.47321838
PI_251128_4X_011.tif,8,246.834341,197.782104,149.234341,4135,178.5877473,30.20990021
PI_251128_4X_011.tif,9,227.075837,183.6571198,130.6996773,4958,190.281436,33.5464714
PI_251128_4X_011.tif,10,255,185,130,1,1.154700538,1.154700538
PI_251128_4X_011.tif,11,246.7246644,206.808557,152.1246644,5960,195.7008435,39.33017505
PI_268234_6X_009.tif,1,255,167.5,105.5,2,2.309401077,1.154700538
PI_268234_6X_009.tif,2,238.0910524,196.7231658,128.620907,5711,197.5518066,37.64839069
PI_268234_6X_009.tif,3,229.7658893,195.3962048,153.1911294,8748,277.3262881,40.98566309
PI_268234_6X_009.tif,4,225.8613876,179.5219135,128.2645966,6731,233.3510164,37.18891676
PI_268234_6X_009.tif,5,246.275764,204.735963,157.3146766,5628,220.7570227,32.83557158
PI_268234_6X_009.tif,6,246.1893229,205.2545573,152.3106771,7680,234.1899221,42.88034689
PI_268234_6X_009.tif,7,237.3479633,186.8967383,142.8456335,6653,233.2490337,36.55908311
PI_268234_6X_009.tif,8,237.1564412,187.9585752,124.3215126,6373,207.2288014,39.47469843
PI_268234_6X_009.tif,9,255,191,138,1,1.154700538,1.154700538
PI_268234_6X_009.tif,10,239.3299875,184.8680991,132.842064,6376,244.4853758,34.2541576
PI_268234_6X_009.tif,11,241.1099696,193.0102732,133.7815783,8566,260.7272214,42.38834221
PI_268234_6X_009.tif,12,235.6083829,183.4146074,118.1495152,6394,226.0684595,36.8054571
PI_302899_8X_015.tif,1,229.5419683,189.2596643,148.0620668,6493,234.8045512,35.55827216
PI_302899_8X_015.tif,2,227.7954745,189.619365,145.7539028,5701,210.6716963,34.76133883
PI_302899_8X_015.tif,3,239.9139117,202.9068636,157.2639705,5959,240.5431394,32.81259462
PI_302899_8X_015.tif,4,227.2407565,183.6084512,135.9758051,5869,230.1298404,32.92973427
PI_302899_8X_015.tif,5,230.9334577,193.9427861,153.8329187,4824,216.3594137,29.49283394
PI_302899_8X_015.tif,6,225.4940319,185.168501,152.8967602,6451,225.8612695,36.7490526
PI_302899_8X_015.tif,7,233.6283709,194.3361655,159.9588105,5414,230.9178942,30.39167528
PI_302899_8X_015.tif,8,235.7704126,199.5823822,149.5992098,6834,241.4873481,36.40427838
PI_302899_8X_015.tif,9,232.1993818,193.0231839,151.7072643,6470,239.0173686,34.78064648
PI_302899_8X_015.tif,10,247.7982818,208.1905498,162.2948454,5820,206.9417434,36.29202919
PI_311403_8X_014.tif,1,220.4522658,183.2258642,137.1805481,5583,222.7648653,32.47071033
PI_311403_8X_014.tif,2,232.55,195.584589,152.2556507,5840,207.4268487,36.07518305
PI_311403_8X_014.tif,3,227.9204187,191.4939359,156.3287922,6019,210.5282604,36.79615497
PI_311403_8X_014.tif,4,228.9793356,194.6339262,158.7513733,7646,235.8727018,41.56059386
PI_311403_8X_014.tif,5,224.5571851,189.4705447,154.222948,8114,241.6133402,43.47884904
PI_311403_8X_014.tif,6,234.331752,194.8843778,149.4576346,9064,255.8466454,45.28135086
PI_311403_8X_014.tif,7,229.9866725,188.44215,144.0995899,6828,239.7994192,36.81015458
PI_311403_8X_014.tif,8,232.9260569,200.6004716,165.855651,5937,230.4788136,32.96202107
PI_311403_8X_014.tif,9,225.8323515,185.8844133,131.9584461,6281,250.7498503,32.11413727
PI_311403_8X_014.tif,10,234.4045643,193.9190871,145.3270029,6266,224.5537954,36.17095373
PI_318989_8X_013.tif,1,243.0377537,194.4760008,148.8878771,5271,222.830222,30.64388234
PI_318989_8X_013.tif,2,240.3966749,198.9257389,158.1390394,8120,252.1989691,41.33068167
PI_318989_8X_013.tif,3,218.4586504,173.7663623,139.9635972,7884,257.3046516,39.46449302
PI_318989_8X_013.tif,4,231.5926688,187.5841801,142.810418,7775,237.0909036,42.3352667
PI_318989_8X_013.tif,5,236.2955093,185.98478,145.7492465,6636,239.932681,36.08614726
PI_318989_8X_013.tif,6,237.3128957,197.5023447,159.5592028,8530,236.6191927,46.4009665
PI_318989_8X_013.tif,7,210.9416468,173.6480572,139.5435545,7129,268.7401405,34.26469668
PI_318989_8X_013.tif,8,234.1186235,184.461408,137.2737186,8253,259.5034502,40.97898562
PI_318989_8X_013.tif,9,229.6768789,178.9856391,130.0362215,6267,273.9097385,30.53965733
PI_318989_8X_013.tif,10,242.1613328,194.063253,149.8676581,5312,239.3462517,29.24827659
PI_318989_8X_013.tif,11,249,146,98,1,1.154700538,1.154700538
PI_318989_8X_013.tif,12,255,133.5,122,2,2.309401077,1.154700538
PI_422463_2X_004.tif,1,231.3875422,177.617981,113.0610617,3259,153.4756978,27.61339655
PI_422463_2X_004.tif,2,219.400299,168.0792227,103.1994021,3345,166.9239724,26.07262104
PI_422463_2X_004.tif,3,213.7951716,173.8521313,116.8396831,2651,147.5292404,23.16303178
PI_422463_2X_004.tif,4,222.1072572,182.1291355,128.088047,3748,179.0712457,26.91603608
PI_422463_2X_004.tif,5,202.3137797,161.0016602,113.6917543,3614,170.6047496,27.22969613
PI_422463_2X_004.tif,6,224.8176309,171.053168,107.7360882,3630,166.3288649,28.02210225
PI_422463_2X_004.tif,7,215.467294,170.9938031,123.8255681,4357,184.9104232,30.45823324
PI_422463_2X_004.tif,8,219.5293723,163.7898624,96.07183619,2979,160.6183126,23.95632428
PI_422463_2X_004.tif,9,223.0731707,182.9830329,131.6004772,3772,170.91853,28.56428201
PI_422463_2X_004.tif,10,230,168,119,1,1.154700538,1.154700538
PI_422463_2X_004.tif,11,223.4285714,153.8571429,109.7142857,7,8.12909522,1.594885964
PI_422463_2X_004.tif,12,221.7807403,171.2136136,104.1053952,3188,153.1638057,26.84703522
PI_676177_2X_005.tif,1,234.4117117,184.9366366,138.8087087,3330,155.9337551,27.53051154
PI_676177_2X_005.tif,2,230.496974,184.7981488,136.8426486,2809,127.5869919,28.61710348
PI_676177_2X_005.tif,3,212.6804522,167.1237938,129.7041632,3627,174.9289455,27.30846455
PI_676177_2X_005.tif,4,225.0005968,178.5096986,135.094897,3351,169.7999663,25.67499944
PI_676177_2X_005.tif,5,217,152,112,1,1.154700538,1.154700538
PI_676177_2X_005.tif,6,228,160,118,1,1.154700538,1.154700538
PI_676177_2X_005.tif,7,216.8850034,169.3150639,128.2343645,2974,136.0335956,28.4505172
PI_676177_2X_005.tif,8,190.6743373,144.2927469,100.7981357,3433,141.968107,31.09555722
PI_676177_2X_005.tif,9,240.8160026,193.3113055,154.4337545,3087,175.207238,22.81972527
PI_676177_2X_005.tif,10,228.5649606,183.1548556,132.963692,4572,182.2745236,32.72894538
PI_676177_2X_005.tif,11,240.7311577,203.2696193,155.2381507,2574,144.9027408,23.02938744
PI_676177_2X_005.tif,12,234.3085071,191.5382324,145.6312479,3021,137.7211877,28.6441079
PI_676177_2X_005.tif,13,244,142,92,1,1.154700538,1.154700538
PI_676177_2X_005.tif,14,255,204,144,1,1.154700538,1.154700538
PI_676177_2X_005.tif,15,241,174,124,1,1.154700538,1.154700538
QUATRO_4X_017.tif,1,216.3128259,167.3777372,121.4880083,3836,151.8095934,32.55419721
QUATRO_4X_017.tif,2,231.4902817,183.3398122,126.8624154,4579,187.5870506,31.81594461
QUATRO_4X_017.tif,3,230,162,112,1,1.154700538,1.154700538
QUATRO_4X_017.tif,4,228.587963,168.1722884,110.6812169,3024,165.6852919,23.41085415
QUATRO_4X_017.tif,5,228.8461321,174.6038961,113.9850367,3542,153.9320658,29.70533147
QUATRO_4X_017.tif,6,217.0348584,170.2412076,112.6093993,3213,149.6521588,27.68539707
QUATRO_4X_017.tif,7,206.0409466,147.7482053,87.3246477,3761,177.2150658,27.66879636
QUATRO_4X_017.tif,8,221.9331907,169.5753685,111.3535426,4206,167.9234682,32.13471495
QUATRO_4X_017.tif,9,235.4300673,185.4427823,131.3841935,4011,171.2397654,30.12119985
QUATRO_4X_017.tif,10,203.2696733,152.623792,101.0653474,4346,162.6864067,34.32499977
QUATRO_4X_017.tif,11,204.705031,140.7853205,62.40868367,2902,151.8029387,24.78046198
